Index,Address,Time Diff between first and last (Mins),Face Attempts,Detected As a Robot At Least Once,Face Match Percentage,FLAG
1,0x00009277775ac7d0d59eaad8fee3d10ac6c805e8,704785.63,1,0,95.89753906224078,0
2,0x0002b44ddb1476db43c868bd494422ee4c136fed,1218216.73,1,0,100.0,0
3,0x0002bda54cb772d040f779e88eb453cac0daa244,516729.3,3,0,95.0557514613773,0
4,0x00038e6ba2fd5c09aedb96697c8d7b8fa6632e5e,397555.9,2,0,97.41088869879665,0
5,0x00062d1dd1afb6fb02540ddad9cdebfe568e0d89,382472.42,1,0,92.54395825010862,0
6,0x000895ad78f4403ecd9468900e68d6ee506136fd,20926.68,1,0,89.57104093897092,0
7,0x000d63fc5df52b0204374c2f5a3249779805d5d1,8660.35,2,0,97.4699764781769,0
8,0x000e001ab444fa8d6dc4a402f8d7cfc88fe8c64d,319828.05,1,1,84.53981273819356,0
9,0x0012cb699c836049a4bbeaac2d8c4d47c688e0e4,496.62,1,0,98.63853402064704,0
10,0x0012f247c9f980eea0a9ad06893bfd95c3145794,30572.7,1,0,86.11033928877441,0
11,0x0013e58a315d2e728f11630aa40abfbdddcab304,129540.15,1,0,93.23325318032005,0
12,0x0016338abcb6bfa6d355adc207c5d2d42acb5e42,385961.98,1,0,97.025247661382,0
13,0x001b28141562bc2601694d27c3f5fda2c06c234c,198900.25,1,0,90.38538890571355,0
14,0x001cb265c5606d79035059686ae5f94c6a4c2c2c,78197.58,2,0,88.22031431676102,0
15,0x001cf9871aeaf2acf72f144b16818b7e417b6dda,540061.9,1,0,94.98304643453069,0
16,0x001d54f72af6eae0fdd17009c391426754bec5c2,25802.32,1,0,100.0,0
17,0x001e6fbcd020823d3161df44bb5da6c34419eecb,280803.43,2,0,83.9646473682358,0
18,0x001eb1e90d25e8c1372c38f2b2a36b49b6634235,842599.05,1,0,98.75907500446704,0
19,0x001f357ca93307571d8cd93d09ce25a3660429af,2318.5,1,0,84.05077958012836,0
20,0x001f99982965a3792077893ecadc7be0c61d613c,329.78,1,0,88.56786800790341,0
21,0x00235134f8335d48cf506b25cc376fc84520588b,113840.02,1,0,79.81669592528038,0
22,0x0023a6a2c8316ccfb083a194aa5668bd75891455,292841.02,2,0,98.20554018502068,0
23,0x0029a9b2ea1e45e32fb6344b117388515858d040,712.88,1,0,83.94992739831264,0
24,0x002a68f53b92cef5ee4e7ce015b78408f20942bb,892782.2,1,0,100.0,0
25,0x002ab919205b134d05d0746e22c7f8000523c660,226778.27,1,0,86.49987651338911,0
26,0x002b043689ad84008fffab16afc1955f5a3aebde,30.65,3,0,81.09622247109617,0
27,0x0031ebb20a0aaf8c67be012bb3a3483d75269635,330187.83,3,0,94.06972334598262,0
28,0x003300d3d2c46983b9a55b07b9b2ab47d6228111,68.87,1,0,93.62912634014228,0
29,0x0033fd555da940b923a7f6f465cc4d9088724263,338429.65,1,0,95.2761279965165,0
30,0x0034f7473531239b1799bc7f14ff97d5303a5a93,955278.0,2,0,99.95991064468485,0
31,0x0036ed1e6299bb586ac70ebdfa336f06714a9556,291427.53,3,0,94.14819625452378,0
32,0x0038ab9bf479faa2997522b3cf9492153ea6b33f,561789.58,1,0,99.2628021634864,0
33,0x003b9a44dcc7b59546a8b1c1e7dccd57eb99f07d,2257.12,1,0,90.52208712142136,0
34,0x003c5ebfa5cdb3d73bad42bb07db823f6c77a236,22889.93,1,0,85.67970797834506,0
35,0x003d8b1e6723960d60367a719fe65e08643a2a80,449889.15,1,0,86.04370961573026,0
36,0x003e2b1599587a6c2f38928ea8f874a74fb1bbbc,450106.65,3,0,88.9208541596283,0
37,0x004534ebd59b0b094da701dbfd952ef605470128,4.87,1,0,89.02580831437035,0
38,0x0045eb75acf6e1cb1d9ec41e352a879e2cd50b35,636162.82,1,0,97.00313236709509,0
39,0x00462f4a169c1dc0b9dc428aa37d394c8abf1266,345142.02,1,0,98.02661749856955,0
40,0x00472c1e4275230354dbe5007a5976053f12610a,21206.93,2,0,89.66981308348899,0
41,0x004853f00fab90ab60cf1e609b0b61494b90164c,160707.1,1,0,93.31659304694676,0
42,0x004e1c2a12ac1d0b70907c702892f397a4769bfb,802574.4,1,0,83.16778137453147,0
43,0x004f1cea50b057ad8b6f445e128edbdc9b48902b,339687.12,1,0,93.38189528937987,0
44,0x005073a74dd37889bebbf9de7550dea7666f625b,355017.02,1,0,87.71233739536817,0
45,0x005457078e3c355023433874edffc8b254881334,328.45,1,0,99.52610929277796,0
46,0x00595d5ec3bb583428a0304b2940a70d7f553aef,13445.97,1,1,86.78855653693616,0
47,0x0059782ecd69fb5413c5e1a98b40c28dff061162,340383.53,1,0,90.41155832963426,0
48,0x005b98bb53be9d5789d27aa1c69ec8a789eff9c1,266825.07,2,0,94.37370126222555,0
49,0x005cb96b96c8fe801f89500df6ee38dc5fa0081f,204236.48,1,0,93.93559717224727,0
50,0x005d3bffd33b1a012279d25d30f75133584404db,286279.03,3,0,93.64662584758624,0
51,0x006482de8230af0f8e2918a439c7826fe8642a43,1169229.5,1,0,88.17930305541374,0
52,0x006743c8992ca6d54c23fa3a745a4781b3817f0c,186707.1,1,0,98.32930412654322,0
53,0x0067e167caf808eaa6f642d9232e54ff7bb47c07,962956.75,1,0,88.79688041225506,0
54,0x006aaaff2ff3358bc8453febaba4e236b028df80,97419.95,1,0,92.44760903721341,0
55,0x007174732705604bbbf77038332dc52fd5a5000c,754216.92,1,0,93.90504052348068,0
56,0x0071763e7e796eeb4c32f083aa4a3ac2f33bf5c0,652.87,1,0,88.05073572393596,0
57,0x0071c78d72b78818b0d507c114674a7ce6bc4f18,24534.25,1,0,100.0,0
58,0x00733965a4f189034c4cd0e7d38c877a34ba0b63,4486.98,1,0,94.0124161438266,0
59,0x00760b09a77e7a4f6ea7e7fdf17f93f8d898c870,2.5,1,0,100.0,0
60,0x00761aebf8420f0325f7d3a9161a8bb6a96e550b,8873.97,1,0,97.92229559665483,0
61,0x007a010f85605b7f9ecd0e26a7cfa3987bb3e43f,242427.3,2,0,98.11663707720516,0
62,0x007bb0518b03f1a8c00e9bb545640800d1e91444,531093.05,3,0,87.13364563247073,0
63,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,93911.63,1,0,87.48516921586943,0
64,0x0080214c803a073c18aaadd7b99cfd08c3945b09,414518.23,1,0,91.08918920797474,0
65,0x0080359f18daa3f2906e347a589ffd49c07c6258,1040169.4,1,0,92.61970399166388,0
66,0x0083704ad2f3e9f58e71593459462875255b7bd2,240610.1,1,0,89.764383657894,0
67,0x00893fa05c19ce3895d0d5577db0ddb02d5cbd47,10032.05,1,0,94.46911934177784,0
68,0x0095e1a57555e5d5e9ee041bc5953d1c37729cdc,120621.38,1,0,90.14111103860374,0
69,0x009663d80363fa044763ef5331280081c95c94be,28803.42,1,0,93.75298322256599,0
70,0x009f93582e0c195ac9d3f2b9c1f31cf44e2e9561,294616.95,1,1,95.03346170542866,0
71,0x00a4862d4407296f92005eff2f51fa5cbb3c6077,8.92,2,0,84.60026230712981,0
72,0x00a527d60d31b337d571acd17dca172003636356,9299.17,1,0,90.8675740466704,0
73,0x00a742825749d9a1b3e2455362ac4e81dc01162c,321695.25,1,0,91.24894052394464,0
74,0x00a87bd6b716f1a50504b8eff2d416de0690070e,161076.67,1,0,90.25009869940553,0
75,0x00adb936b9636ccc4211533c7f1a0d2c53466b85,620113.1,1,0,99.96821691112066,0
76,0x00ae0c1fd293038c2b24a715e6fabacda6012b55,101238.1,1,0,96.18791165825351,0
77,0x00af29056355cbe37df9724436eef327f5f88157,674198.88,1,0,95.68368563903537,0
78,0x00bd1bba3519746a5b7d0bede063f14d48dfdf2b,72065.0,1,0,81.74517289279831,0
79,0x00bd9fd57c423a1b1c969823d409156d90974d77,611682.27,1,0,95.45066491471724,0
80,0x00bf8ef866b3d8139c982961f6850fadc17f1d48,1009090.55,1,0,90.89699559997369,0
81,0x00bfc8d9cbcfc8601db95cded379ef7a4a5e0f5e,11677.73,1,0,96.40601279145996,0
82,0x00c2abd0ab9fc13fbc8baac19dc30aec31704d4e,381840.42,3,0,93.5806168614455,0
83,0x00c316e5099530e7af8e5bfade517b395acf8639,102.07,1,0,92.02119523687645,0
84,0x00c481dd22fba34f7dac2d46f0c1172c7abb9f0e,291444.58,1,0,100.0,0
85,0x00c6b386f92e1841c3a9dde2bf97a8950f0b0c31,16284.15,2,0,93.02761953901873,0
86,0x00c8a33b90a749f7433e08e5d4c7034e405a94b4,169.87,1,0,95.190889532508,0
87,0x00ca022d429d853c3f28070b410b13bc4438926b,2250.73,1,0,90.1067476151948,0
88,0x00cb28b1d4437357fdb57967e21be18c415ca05e,341868.53,3,0,96.21760803366702,0
89,0x00cb985681dd0cf13cff257a7324d97ea1e3ff32,614761.98,1,0,89.78128732419148,0
90,0x00cbdec4dd1b322810683c0e977d4fa237fecf7e,10.8,1,0,96.32471043302526,0
91,0x00cd7d76d3e93819c19fd7296386b816234b489e,7.53,1,0,85.23173366792996,0
92,0x00ce20fbdedc38fb559728265edbb26b63fbb377,688942.0,2,0,90.42753349768019,0
93,0x00cfdefb1e800e4743288734adc727fae6659f74,772.02,1,0,91.09641351784387,0
94,0x00d4a560da94790c8d508a7edda6465d7a3e9a49,596107.57,1,0,85.22639793754563,0
95,0x00d8a10e21f443758240eed09897cef08314618d,288353.97,1,0,87.41890742937565,0
96,0x00da8417b2c53b1fac15fafddf9854285959e9b6,31.28,1,0,94.23778499466765,0
97,0x00df7c16597385f31dfc87d1e103eaab28fc0f8d,18.47,1,0,100.0,0
98,0x00e40876d147fdc499afa3f5a49cf6fe6256f196,64.95,1,0,94.89250786990713,0
99,0x00e87b69cf3686e028f96d14cd79ec30983e0f53,251884.43,1,0,100.0,0
100,0x00eb6923331d35ba68b9e36ff99d0c035ffed9e5,342210.95,1,0,94.08693323093253,0
101,0x00f166114c211b7e71e09bfd5d6ffee8716bc0cb,952.85,3,0,97.99848394606673,0
102,0x00f3c39b641a3533b95dd30b4f5b3a87ba9044ca,10.87,1,0,98.46490654999832,0
103,0x00f8513a3819c085ba1d3cd84a15c5df45b7ee35,46.45,3,0,94.00576156225516,0
104,0x00f8de11eada0ce48200cd7f2214082954a9fe44,511227.0,1,0,96.24059705093416,0
105,0x010c41f9ada72d7993973ee274c6cc93a309f805,323.42,3,0,92.50498718846043,0
106,0x011b1cd5eaebc4d52bd2a6c928d45d93af642a58,20.18,1,0,87.49609014492287,0
107,0x011bed5908623f6adfcd54872ed88e0dc713a1bf,314.65,3,0,92.53066382132117,0
108,0x0120a41636716d5717e92a2a960580a0961df73f,73.97,2,0,92.36226542789545,0
109,0x012dbb1d6e6aaae7a0bf5f610a5fb44e308bb433,10.38,1,0,95.17483606750487,0
110,0x012ef110b256b0e6b80aea1478d74b1b4a1eabb9,327.37,1,0,90.33477298979291,0
111,0x01390fbe18c3c5ae9f91b13ade67d19bce75c5e1,228977.53,2,0,88.13506144709284,0
112,0x0155a63bc4cb378cb9b4dc10c8e777943bba9c2a,138977.15,1,0,82.09850355928461,0
113,0x0160cf072f092a70e8def0537b8329350282a8d4,816620.55,3,0,98.4724253924701,0
114,0x016cd40242a3b50902c84088092ef87c85d782b3,376480.78,1,0,96.12888617163229,0
115,0x016d12db5620e094868f95b9c6fd2057032b7446,267722.13,1,0,89.25039760865887,0
116,0x016e0ddc9631f662539fb1882458e5df00791565,1150335.93,1,0,88.52428630989081,0
117,0x016f855e1d3a7737f7da894b1dd6e86a3353225d,617468.87,1,0,83.77213261058161,0
118,0x01716102b6ea467289897effc84cf136bd0b6c32,226766.85,1,0,85.09561875595452,0
119,0x01889bfb1bd897ff4f23cb25f9dde7b3a012dbca,10.93,1,0,94.3661831004043,0
120,0x018b9224ee3f8f362f553835d27da391fc5af9d9,73.42,1,0,94.23241971833721,0
121,0x019444358934627777f19f0cc121f5fc00e7bab8,520700.2,1,0,89.0717616578815,0
122,0x01969235b1145fc6e8b1efab8ddbe56cfe313f3f,127115.7,1,0,91.69360046811315,0
123,0x01a35a131f90dd33dec9a0995aaa60720c046938,353915.25,1,0,97.09945504043593,0
124,0x01a9e95ef766394893dbfb824c66c91b301b913d,75.03,1,0,84.00518266297249,0
125,0x01ad2af80301bcd6b5bd737699a6a7b51a24152a,62.6,1,0,95.50562123580332,0
126,0x01bf959b281ac74e7fb3b98c880dbe88bab2e2a4,301482.83,1,0,91.06911478590963,0
127,0x01cb670a5b57ddf7fa27b455ba2d9357f1dec6b0,310.32,1,1,89.03061956760314,0
128,0x01d41e16362b141332db90f69785dbe58f0dc4ee,40.8,2,0,81.18103327836266,0
129,0x01df8ecad36d5eae229e6f5ae784428a9191c6ee,376485.87,2,0,82.75241410175084,0
130,0x01f6c17b828f211909453550ac925b3a19a583d7,2669.23,1,0,93.48567571743118,0
131,0x01f70159be7361ccfcfe85bd4bbffe63ec00e214,946931.97,1,0,93.69849019916367,0
132,0x01fd68c62d8b18f5f01f184656b0b8de18ccb7aa,13.88,1,0,93.52820766226225,0
133,0x0208764c8e34d0f980677f10867444f4cb27825c,5.9,1,0,83.150350288124,0
134,0x020aaf9192743375b50ab13976aa8e86d50852f5,323.38,2,0,81.5475566445388,0
135,0x020d6af0b51290d19e73a053ca33fa42da3a18fd,743941.13,2,0,95.29114384687989,0
136,0x020d818ebb9f1bd587acae00a48b93424d37bb84,992074.2,2,0,91.74832010030005,0
137,0x020de3ebd3560b4e3cec1a8b34a3f2dff5e31f88,152789.92,1,0,92.28197205488044,0
138,0x021201236965565462cd458df7d70f737d63d4d6,178770.6,1,0,97.42705262390007,0
139,0x021da14749518f5d036a1891a063d2ab5db1b733,1019244.7,3,0,85.2594288717566,0
140,0x02298b9f2517b0dc60929c53a69dea884494a32b,327.92,1,0,94.96042663643406,0
141,0x022cbf4576d9c1c47836962c2d1085f0ff9177fc,326.03,3,0,90.28246783770051,0
142,0x023096bf0b4d933256f98b85b648586e75105277,936622.48,1,0,93.62510528725852,0
143,0x0236e5eae1708bfab9a699e8268e7521b0e6b95e,948.73,1,0,99.95421364823582,0
144,0x0241899d2e42ca0fbf46d1a75ef429c7e061cded,250218.08,1,0,95.42591820463977,0
145,0x0244d7e1ffe01940b1ffcebca3f09efab13fe664,321.5,1,0,87.4999412256581,0
146,0x02459d2ea9a008342d8685dae79d213f14a87d43,232149.93,2,0,88.8975420097926,0
147,0x02494bfc78c74a5aa1c5b7b92757f9f37b2dcc5f,182217.27,1,0,92.48581700442448,0
148,0x024e8f301490466665e2402840f44881690bdb57,77404.38,1,0,92.24354035364037,0
149,0x024f443f33e173e7a4dee5bc48c2132862f4a5c7,2259.65,3,0,91.10199341028044,0
150,0x02524995562b26980f0fa0d9e34ab1dc0d5e2283,320.68,2,0,93.18733966609402,0
151,0x025aaf76b2157cadc814a145afb6d869753e73ff,6699.85,3,0,97.98868197809865,0
152,0x025ba18cb327c8d968470936ba8f340a47fd6a43,192602.83,1,0,96.00588304633295,0
153,0x02605b528db3667cd34d3ca2f95b463ffcdab3a5,305.33,2,0,88.16699993727225,0
